"","Out"
"1",0.0735556690661572
"2",0.066611687790211
"3",-0.00650977035093914
"4",0.0484333975426702
"5",-0.00650977035093914
"6",0.0735556690661572
"7",0.066611687790211
"8",0.0735556690661572
"9",-0.00650977035093914
"10",0.0466385110407933
"11",0.0743759270198174
"12",0.0450500500384539
"13",0.0466385110407933
"14",0.066611687790211
"15",0.0735556690661572
"16",0.066611687790211
"17",0.0450500500384539
"18",0.0735556690661572
"19",0.0484333975426702
"20",0.0735556690661572
"21",0.0466385110407933
"22",0.0743759270198174
"23",0.0598379645776397
"24",0.0466385110407933
"25",0.0450500500384539
"26",-0.924961591982969
"27",0.066611687790211
"28",0.0484333975426702
"29",0.0484333975426702
"30",0.066611687790211
"31",0.0466385110407933
"32",0.0450500500384539
"33",0.0735556690661572
"34",0.066611687790211
"35",0.0484333975426702
"36",0.0450500500384539
"37",0.0466385110407933
"38",0.0743759270198174
"39",0.0735556690661572
"40",0.0484333975426702
"41",0.066611687790211
"42",0.0450500500384539
"43",-0.924961591982969
"44",-0.00650977035093914
"45",0.0450500500384539
"46",0.0484333975426702
"47",-0.002343774134689
"48",-0.812039994009715
"49",0.0466385110407933
"50",0.0743759270198174
"51",0.0466385110407933
"52",0.0743759270198174
"53",0.0484333975426702
"54",0.0735556690661572
"55",0.066611687790211
"56",0.066611687790211
"57",0.0484333975426702
"58",-0.00650977035093914
"59",0.0466385110407933
"60",0.0484333975426702
"61",-0.00650977035093914
"62",0.0722462001303149
"63",0.0484333975426702
"64",0.0466385110407933
"65",0.0450500500384539
"66",0.066611687790211
"67",-0.00650977035093914
"68",-0.00650977035093914
"69",0.0722462001303149
"70",0.0466385110407933
"71",-0.00650977035093914
"72",0.0484333975426702
"73",0.066611687790211
"74",0.0450500500384539
"75",0.0466385110407933
"76",0.0466385110407933
"77",0.0450500500384539
"78",-0.924961591982969
"79",0.000794889516869013
"80",-0.00650977035093914
"81",0.0484333975426702
"82",0.0484333975426702
"83",0.0450500500384539
"84",-0.924961591982969
"85",0.066611687790211
"86",-0.00650977035093914
"87",0.0722462001303149
"88",0.0450500500384539
"89",0.0466385110407933
"90",-0.00650977035093914
"91",0.0722462001303149
"92",0.0466385110407933
"93",0.0743759270198174
"94",-0.00650977035093914
"95",0.0735556690661572
"96",0.0493985622247944
"97",0.0466385110407933
"98",-0.00650977035093914
"99",0.0484333975426702
"100",0.066611687790211
